Любімого вулиця	вулиця Любімого
Магдебурзького Права вулиця	вулиця Магдебурзького Права
Майбутнього вулиця	вулиця Майбутнього
Маковского вулиця	вулиця Маковского
Малиновского вулиця	вулиця Малиновского
Марицького вулиця	вулиця Марицького
Мархоцького вулиця	вулиця Мархоцького
Маршала Батицького вулиця	вулиця Маршала Батицького
Маршала Будьоного вулиця	вулиця Маршала Будьоного
Маяковского вулиця	вулиця Маяковского
Маяковского провулок	провулок Маяковского
Маяковского проспект	проспект Маяковского
Медведцького вулиця	вулиця Медведцького
Мерецького вулиця	вулиця Мерецького
Милого вулиця	вулиця Милого
Михаила Грушевского вулиця	вулиця Михайла Грушевського
Могильницького вулиця	вулиця Могильницького
Молодчого вулиця	вулиця Молодчого
Морецького вулиця	вулиця Морецького
Мохового вулиця	вулиця Мохового
Мурого вулиця	вулиця Мурого
Мусорского вулиця	вулиця Мусорского
Надольного вулиця	вулиця Надольного
Наліваного вулиця	вулиця Наліваного
Нарижного вулиця	вулиця Нарижного
Наукового Містечка вулиця	вулиця Наукового Містечка
Національного Відродження вулиця	вулиця Національного Відродження
Національного Відродження площа	площа Національного Відродження
Національного Прапора вулиця	вулиця Національного Прапора
Національного Прапора провулок	провулок Національного Прапора
Невідомого Бійця вулиця	вулиця Невідомого Бійця
Невідомого Солдата вулиця	вулиця Невідомого Солдата
Новосельского вулиця	вулиця Новосельского
Ногінского вулиця	вулиця Ногінского
Норинского квартал	квартал Норинского
Одинадцятого Липня в’їзд	вʼїзд 11 Липня
Одинадцятого Липня вулиця	вулиця 11 Липня
Олеськового вулиця	вулиця Олеськового
Ольхового вулиця	вулиця Ольхового
Онезького провулок	провулок Онезького
Островского вулиця	вулиця Островського
П'ясецького вулиця	вулиця Пʼясецького
П’ятницького вулиця	вулиця Пʼятницького
П’ятого Липня вулиця	вулиця 5 Липня
Паньковецького вулиця	вулиця Паньковецького
Партизана Луб’яного вулиця	вулиця Партизана Лубʼяного
Пашницького вулиця	вулиця Пашницького
Пекельного вулиця	вулиця Пекельного
Перевозного вулиця	вулиця Перевозного
Перуцького вулиця	вулиця Перуцького
Першого Грудня вулиця	вулиця 1 Грудня
Першого Травня в’їзд	вʼїзд 1 Травня
Першого Травня вулиця	вулиця 1 Травня
Першого Травня площа	площа 1 Травня
Першого Травня провулок	провулок 1 Травня
