1-го Травня площа	площа 1 Травня
10-го Квітня площа	площа 10 Квітня
1000-ліття Полонного	площа 1000-ліття Полонного
200-річчя Херсона площа	площа 200-річчя Херсона
40 років Перемоги площа	площа 40 років Перемоги
40-річчя Перемоги площа	площа 40-річчя Перемоги
700-річчя Черкас площа	площа 700-річчя Черкас
900-річчя Буська площа	площа 900-річчя Буська
Августина Штефана площа	площа Августина Штефана
Авіаторів площа	площа Авіаторів
Аграрна площа	Аграрна площа
Адміралтейська площа	Адміралтейська площа
Академіка Олексія Бекетова площа	площа Академіка Олексія Бекетова
Андрія Первозваного площа	площа Андрія Первозваного
Анкари площа	площа Анкари
Арсенальна площа	Арсенальна площа
Арутюнова площа	площа Арутюнова
Базарна площа	Базарна площа
Бессарабська площа	Бессарабська площа
Богдана Хмельницького площа	площа Богдана Хмельницького
Бориса Дерев’янка площа	площа Бориса Дерев’янка
Борисо-Глібська площа	Борисо-Глібська площа
Ботанічна площа	Ботанічна площа
Брезаноці площа	площа Брезаноці
Будапешт площа	площа Будапешт
В. І. Сазанова площа	площа В. І. Сазанова
Валерія Марченка площа	площа Валерія Марченка
Варошдерек площа	площа Варошдерек
Васильківська площа	Васильківська площа
Василя Симоненка площа	площа Василя Симоненка
Визволення майдан	майдан Визволення
Визволення площа	площа Визволення
Відрадна площа	Відрадна площа
Вічева площа	Вічева площа
Вічевий майдан	Вічевий майдан
Воззʼєднання площа	площа Воззʼєднання
Воїнів-інтернаціоналістів площа	площа Воїнів-Інтернаціоналістів
Вокзальна площа	Вокзальна площа
Волі майдан	майдан Волі
Володимирська площа	Володимирська площа
Володимирський майдан	Володимирський майдан
Гайдамаків майдан	майдан Гайдамаків майдан
Галицька площа	Галицька площа
Ганнібала площа	площа Ганнібала
Георгія Кірпи площа	площа Георгія Кірпи
Героїв ВВВ майдан	майдан Героїв ВВВ майдан
Героїв Майдану площа	площа Героїв Майдану
Героїв Майдану Площа	площа Героїв Майдану
Героїв Маріуполя площа	площа Героїв Маріуполя
Героїв Небесної Сотні площа	площа Героїв Небесної Сотні
Героїв площа	площа Героїв
Героїв Сталінграду площа	площа Героїв Сталінграду
Героїв УПА площа	площа Героїв УПА
Головна площа	Головна площа
Голосіївська площа	Голосіївська площа
Гостомельська площа	Гостомельська площа
Грецька площа	Грецька площа
Гур'їва площа	Гурʼїва площа
Дарницька площа	Дарницька площа
Двір площа	площа Двір
Деміївська площа	Деміївська площа
Домнобудівників площа	площа Домнобудівників
Донецька площа	Донецька площа
Дружби народів площа	площа Дружби Народів
Думська площа	Думська площа
Європейська площа	Європейська площа
Європейський майдан	Європейський майдан
Єдності площа	площа Єдності
Житньоторзька площа	Житньоторзька площа
Жігмонда Перені площа	площа Жігмонда Перені
Жовтнева площа	Жовтнева площа
Жупанатська площа	Жупанатська площа
Залізничників площа	площа Залізничників
Замковий майдан	Замковий майдан
Зарембського майдан	майдан Зарембського
Захисників України майдан	майдан Захисників України
Згоди майдан	майдан Згоди
Зигмунда Козара площа	площа Зигмунда Козара
Злуки площа	площа Злуки
Івана Богуна площа	площа Івана Богуна
Івана Франка площа	площа Івана Франка
Ім. Т.Г. Шевченка площа	площа Шевченка
Йосифа Сліпого майдан	майдан Йосифа Сліпого
Кальвіна площа	площа Кальвіна
Керченська площа	Керченська площа
Київська площа	Київська площа
Кловська площа	Кловська площа
Княжа площа	Княжа площа
Князя Ігоря площа	площа Князя Ігоря
Конотопської Битви площа	площа Конотопської Битви
Конституції площа	площа Конституції
Кооперативна площа	Кооперативна площа
Короленка майдан	майдан Короленка
Корольова майдан	майдан Корольова
Космонавтів площа	площа Космонавтів
Кошута площа	площа Кошута
Красна площа	Красна площа
Культури площа	площа Культури
Лемківська площа	Лемківська площа
Леніна площа	площа Леніна
Леоніда Телятникова площа	площа Леоніда Телятникова
Лесі Українки площа	площа Лесі Українки
Либідська площа	Либідська площа
Лук’янівська площа	Лукʼянівська площа
Льва Толстого площа	площа Льва Толстого
Львівська площа	Львівська площа
Майдан 1-го травня	майдан 1 Травня
Майдан Волі	майдан Волі
Майдан Злагоди	майдан Злагоди
майдан Княжий двір	майдан Княжий Двір
Майдан музики	майдан Музики
майдан Незалежності	майдан Незалежності
Майдан Незалежності	майдан Незалежності
Майдан Перемоги	майдан Перемоги
Майдан Університетський	Університетський майдан
Матері площа	площа Матері
Матросова площа	Матросова площа
Машинобудівників площа	площа Машинобудівників
Металістів площа	площа Металістів
Металургів площа	площа Металургів
