1 Загребельний провулок                                                                                   	1-й Загребельний провулок
2-й Некрасова провулок                                                                                    	2-й провулок Некрасова
2-й Нове Життя провулок                                                                                   	2-й провулок Нове Життя
2-й О.Теліги провулок                                                                                     	2-й провулок О.Теліги
2-й Олекси Десняка провулок                                                                               	2-й провулок Олекси Десняка
2-й Орджонікідзе провулок                                                                                 	2-й провулок Орджонікідзе
2-й Пархоменка провулок                                                                                   	2-й провулок Пархоменка
2-й Перемоги провулок                                                                                     	2-й провулок Перемоги
2-й Пирогова провулок                                                                                     	2-й провулок Пирогова
2-й Просужого провулок                                                                                    	2-й провулок Просужого
2-й Рахматуліна провулок                                                                                  	2-й провулок Рахматуліна
2-й Свердлова провулок                                                                                    	2-й провулок Свердлова
2-й Свободи провулок                                                                                      	2-й провулок Свободи
2-й Семена Палія провулок                                                                                 	2-й провулок Семена Палія
2-й Суворова провулок                                                                                     	2-й провулок Суворова
2-й Чехова провулок                                                                                       	2-й провулок Чехова
2-й Шевченка провулок                                                                                     	2-й провулок Шевченка
2-й гостинний в'їзд                                                                                       	2-й Гостинний вʼїзд
21-го Вересня вулиця                                                                                      	вулиця 21 Вересня
26 Бакинських Комісарів вулиця                                                                            	вулиця 26-ти Бакинських Комісарів
3 Загребельний провулок                                                                                   	3-й Загребельний провулок
3-й Борисівки провулок                                                                                    	3-й провулок Борисівки
3-й Ворошилова провулок                                                                                   	3-й провулок Ворошилова
3-й Гоголя провулок                                                                                       	3-й провулок Гоголя
3-й Загребелля провулок                                                                                   	3-й провулок Загребелля
3-й Кривоноса провулок                                                                                    	3-й провулок Кривоноса
3-й Лесі Українки провулок                                                                                	3-й провулок Лесі Українки
3-й Механізаторів провулок                                                                                	3-й провулок Механізаторів
3-й Надії провулок                                                                                        	3-й провулок Надії
3-й Незалежності провулок                                                                                 	3-й провулок Незалежності
3-й Некрасова провулок                                                                                    	3-й провулок Некрасова
3-й Олекси Десняка провулок                                                                               	3-й провулок Олекси Десняка
3-й Пирогова провулок                                                                                     	3-й провулок Пирогова
3-й Просужого провулок                                                                                    	3-й провулок Просужого
3-й Свободи провулок                                                                                      	3-й провулок Свободи
3-й мікрорайон вулиця                                                                                     	вулиця 3-й Мікрорайон
3-я Радіозаводська вулиця                                                                                 	3-тя Радіозаводська вулиця
30 - Років Перемоги вулиця                                                                                	вулиця 30 років Перемоги
30 років Перемоги вулиця                                                                                  	вулиця 30 років Перемоги
30 років Перемоги провулок                                                                                	провулок 30 років Перемоги
30 років перемоги вулиця                                                                                  	вулиця 30 років Перемоги
30 річча Перемоги вулиця                                                                                  	вулиця 30-річчя Перемоги
30 річчя Перемоги вулиця                                                                                  	вулиця 30-річчя Перемоги
30-річчя Перемоги вулиця                                                                                  	вулиця 30-річчя Перемоги
4-а лінія                                                                                                 	4-та лінія
4-й Гоголя провулок                                                                                       	4-й провулок Гоголя
40 Років Перемоги вулиця                                                                                  	вулиця 40 років Перемоги
40 років Жовтня вулиця                                                                                    	вулиця 40 років Жовтня
40 років Перемоги вулиця                                                                                  	вулиця 40 років Перемоги
40 років Перемоги провулок                                                                                	провулок 40 років Перемоги
40-річчя Жовтня вулиця                                                                                    	вулиця 40-річчя Жовтня
5 Грудня вулиця                                                                                           	вулиця 5 Грудня
5-а лінія                                                                                                 	5-та лінія
5-го Грудня вулиця                                                                                        	вулиця 5 Грудня
5-й Гоголя провулок                                                                                       	5-й провулок Гоголя
5-й Довженка провулок                                                                                     	5-й провулок Довженка
50 Років Перемоги вулиця                                                                                  	вулиця 50 років Перемоги
50 років ВЛКСМ вулиця                                                                                     	вулиця 50 років ВЛКСМ
50 років Перемоги вулиця                                                                                  	вулиця 50 років Перемоги
50 років СРСР вулиця                                                                                      	вулиця 50 років СРСР
50-річча Жовтня вулиця                                                                                    	вулиця 50-річчя Жовтня
55-ї Стрілецької Дивізії вулиця                                                                           	вулиця 55-ї Стрілецької Дивізії
6-а лінія                                                                                                 	6-та лінія
6-й Довженка провулок                                                                                     	6-й провулок Довженка
60 років Жовтня вулиця                                                                                    	вулиця 60 років Жовтня
77-ї Гвардійської Дивізії вулиця                                                                          	вулиця 77-ї Гвардійської Дивізії
8 Березня вулиця                                                                                          	вулиця 8 Березня
8 Березня провулок                                                                                        	провулок 8 Березня
8 березня вулиця                                                                                          	вулиця 8 Березня
8-го Березня вулиця                                                                                       	вулиця 8 Березня
8-го Березня провулок                                                                                     	провулок 8 Березня
8-о Березня вулиця                                                                                        	вулиця 8 Березня
9 Січня вулиця                                                                                            	вулиця 9 Січня
9 Травня вулиця                                                                                           	вулиця 9 Травня
9-го Вересня вулиця                                                                                       	вулиця 9 Вересня
9-го Вересня провулок                                                                                     	провулок 9 Вересня
9-го Січня вулиця                                                                                         	вулиця 9 Січня
900-річчя Варви вулиця                                                                                    	вулиця 900-річчя Варви
Є. Чернишової вулиця                                                                                      	вулиця Є. Чернишової
Євгена Гребінки вулиця                                                                                    	вулиця Євгена Гребінки
Євгена Гуцала вулиця                                                                                      	вулиця Євгена Гуцала
Євгена Онацького вулиця                                                                                   	вулиця Євгена Онацького
Євгена Чикаленка вулиця                                                                                   	вулиця Євгена Чикаленка
Євгенія Лоскота вулиця                                                                                    	вулиця Євгенія Лоскота
Єлецька вулиця                                                                                            	вулиця Єлецька
Єршова вулиця                                                                                             	вулиця Єршова
Єсеніна вулиця                                                                                            	вулиця Єсеніна
Єсеніна провулок                                                                                          	провулок Єсеніна
І. Верзи вулиця                                                                                           	вулиця І. Верзи
І. Муромця вулиця                                                                                         	вулиця І. Муромця
І. Приходька вулиця                                                                                       	вулиця І. Приходька
І.М.Скоропадського проспект                                                                               	проспект І. М. Скоропадського
І.Піддубного вулиця                                                                                       	вулиця І. Піддубного
І.Франка вулиця                                                                                           	вулиця І. Франка
І.Черняхівського вулиця                                                                                   	вулиця І. Черняхівського
Івана Безпальчого вулиця                                                                                  	вулиця Івана Безпальчого
Івана Богуна вулиця                                                                                       	вулиця Івана Богуна
Івана Виговського вулиця                                                                                  	вулиця Івана Виговського
Івана Горбачевського вулиця                                                                               	вулиця Івана Горбачевського
Івана Дзюби вулиця                                                                                        	вулиця Івана Дзюби
Івана Дудка вулиця                                                                                        	вулиця Івана Дудка
Івана Дудка провулок                                                                                      	провулок Івана Дудка
Івана Здоровенка в’їзд                                                                                    	вʼїзд Івана Здоровенка
Івана Котляревського вулиця                                                                               	вулиця Івана Котляревського
Івана Мазепи вулиця                                                                                       	вулиця Івана Мазепи
Івана Мельниченка вулиця                                                                                  	вулиця Івана Мельниченка
Івана Молявки вулиця                                                                                      	вулиця Івана Молявки
Івана Молявки провулок                                                                                    	провулок Івана Молявки
Івана Мічуріна вулиця                                                                                     	вулиця Івана Мічуріна
Івана Орлая вулиця                                                                                        	вулиця Івана Орлая
Івана Плюща вулиця                                                                                        	вулиця Івана Плюща
Івана Пулюя вулиця                                                                                        	вулиця Івана Пулюя
Івана Рашевського вулиця                                                                                  	вулиця Івана Рашевського
Івана Скоропадського вулиця                                                                               	вулиця Івана Скоропадського
Івана Сочивця вулиця                                                                                      	вулиця Івана Сочивця
Івана Сошенка вулиця                                                                                      	вулиця Івана Сошенка
Івана Стороженка вулиця                                                                                   	вулиця Івана Стороженка
Івана Сірка вулиця                                                                                        	вулиця Івана Сірка
Івана Томилка вулиця                                                                                      	вулиця Івана Томилка
Івана Франка бульвар                                                                                      	бульвар Івана Франка
Івана Франка вулиця                                                                                       	вулиця Івана Франка
Івана Франка площа                                                                                        	площа Івана Франка
Івана Франка провулок                                                                                     	провулок Івана Франка
Івана Франко вулиця                                                                                       	вулиця Івана Франко
Івана Фіолетова вулиця                                                                                    	вулиця Івана Фіолетова
Івана Цинковського вулиця                                                                                 	вулиця Івана Цинковського
Івана Чирка вулиця                                                                                        	вулиця Івана Чирка
Івана Шевченка вулиця                                                                                     	вулиця Івана Шевченка
Ігоря Качуровського вулиця                                                                                	вулиця Ігоря Качуровського
Ігоря Самострова вулиця                                                                                   	вулиця Ігоря Самострова
Ігоря Шкляра вулиця                                                                                       	вулиця Ігоря Шкляра
Ігоря Шкляра провулок                                                                                     	провулок Ігоря Шкляра
Ілляша Г.Я. вулиця                                                                                        	вулиця Г. Я. Ілляша
Іллі Шрага вулиця                                                                                         	вулиця Іллі Шрага
Інтернаціоналістів вулиця                                                                                 	вулиця Інтернаціоналістів
Іоанна Максимовича вулиця                                                                                 	вулиця Іоанна Максимовича
Іоанікія Галятовського вулиця                                                                             	вулиця Іоанікія Галятовського
Іржавський шлях вулиця                                                                                    	вулиця Іржавський Шлях
Іскри вулиця                                                                                              	вулиця Іскри
А. Бондаренка вулиця                                                                                      	вулиця А. Бондаренка
А. Горбача вулиця                                                                                         	вулиця А. Горбача
А. Комка вулиця                                                                                           	вулиця А. Комка
А. О. Граговського вулиця                                                                                 	вулиця А. О. Грановського
А.Казки вулиця                                                                                            	вулиця А. Казки
Авіаторів вулиця                                                                                          	вулиця Авіаторів
Авіації вулиця                                                                                            	вулиця Авіації
Авіації провулок                                                                                          	провулок Авіації
