Юрія Тимошенка („Тарапуньки”) вулиця                               	вулиця Юрія Тимошенка «Тарапуньки»
1-й Жукова провулок                                                	1-й провулок Жукова
2-й Жукова провулок                                                	2-й провулок Жукова
Жукова вулиця                                                      	вулиця Жукова
Микити Клєцкова провулок                                           	провулок Микити Клєцкова
Бірюкова вулиця                                                    	вулиця Бірюкова
Петруся Якова провулок                                             	провулок Петруся Якова
Полякова вулиця                                                    	вулиця Полякова
Третякова провулок                                                 	провулок Третякова
Чікалова вулиця                                                    	вулиця Чікалова
1-й Чкалова тупик                                                  	1-й тупик Чкалова
2-й Чкалова тупик                                                  	2-й тупик Чкалова
3-й Чкалова тупик                                                  	3-й тупик Чкалова
4-ий Чкалова тупик                                                 	4-й тупик Чкалова
Чкалова провулок                                                   	провулок Чкалова
1-й Чкалова провулок                                               	1-й провулок Чкалова
Валерія Чкалова вулиця;ulica Walerija Czkałowa                     	вулиця Валерія Чкалова
вулиця чкалова                                                     	вулиця Чкалова
чкалова вулиця                                                     	вулиця Чкалова
Чкалова вулиця                                                     	вулиця Чкалова
Чкалова вулиця / Академіка Герасимовича вулиця                     	вулиця Чкалова
Chkalova Street                                                    	вулиця Чкалова
Баталова вулиця                                                    	вулиця Баталова
Академіка Павлова вулиця                                           	вулиця Академіка Павлова
Павлова провулок                                                   	провулок Павлова
Павлова вулиця                                                     	вулиця Павлова
Свердлова провулок                                                 	провулок Свердлова
Свердлова вулиця                                                   	вулиця Свердлова
Свєрдлова провулок                                                 	провулок Свєрдлова
Данилова вулиця                                                    	вулиця Данилова
Антона Кирилова вулиця                                             	вулиця Антона Кирилова
Крилова провулок                                                   	провулок Крилова
Крилова вулиця                                                     	вулиця Крилова
Ворошилова вулиця                                                  	вулиця Ворошилова
Ворошилова вулиця;Voroshylova Street                               	вулиця Ворошилова
Миколи Вавілова проспект                                           	проспект Миколи Вавілова
Вавілова вулиця                                                    	вулиця Вавілова
Панфілова провулок                                                 	провулок Панфілова
Панфілова провулок;zaułek Panfiłowa                                	провулок Панфілова
Панфілова вулиця                                                   	вулиця Панфілова
Панфілова вулиця;Panfilova Street;ulica Panfiłowa                  	вулиця Панфілова
Соколова провулок                                                  	провулок Соколова
Академіка Маслова вулиця                                           	вулиця Академіка Маслова
Размислова провулок                                                	провулок Размислова
Размислова вулиця                                                  	вулиця Размислова
Котлова провулок                                                   	провулок Котлова
Сергія Єфремова вулиця                                             	вулиця Сергія Єфремова
Михайла Амвросимова провулок                                       	провулок Михайла Амвросимова
Нахімова провулок                                                  	провулок Нахімова
Нахімова вулиця                                                    	вулиця Нахімова
Нахімова вулиця;Nakhimova Street;ulica Nachimowa                   	вулиця Нахімова
Дмитра Ахшарумова вулиця                                           	вулиця Дмитра Ахшарумова
Ізюмова Андрія вулиця                                              	вулиця Андрія Ізюмова
Жданова вулиця                                                     	вулиця Жданова
Сергія Параджанова вулиця                                          	вулиця Сергія Параджанова
Сазанова провулок                                                  	провулок Сазанова
Щелканова вулиця                                                   	вулиця Щелканова
Деманова провулок                                                  	провулок Деманова
Михайла Драгоманова вулиця                                         	вулиця Михайла Драгоманова
Драгоманова провулок                                               	провулок Драгоманова
Драгоманова вулиця                                                 	вулиця Драгоманова
Фурманова провулок                                                 	провулок Фурманова
