Юрія Тимошенка („Тарапуньки”) вулиця                               	вулиця Юрія Тимошенка «Тарапуньки»
Тесленка провулок                                                  	провулок Тесленка
Тесленка вулиця                                                    	вулиця Тесленка
Федора Мазуленка провулок                                          	провулок Федора Мазуленка
Володимира Семенка вулиця                                          	вулиця Володимира Семенка
П. Артеменка вулиця                                                	вулиця П. Артеменка
Артеменка вулиця                                                   	вулиця Артеменка
Тихона Клименка вулиця                                             	вулиця Тихона Клименка
Клименка вулиця                                                    	вулиця Клименка
Герасименка вулиця                                                 	вулиця Герасименка
Максименка провулок                                                	провулок Максименка
Максименка вулиця                                                  	вулиця Максименка
Пархоменка проїзд                                                  	проїзд Пархоменка
Пархоменка вулиця                                                  	вулиця Пархоменка
Степаненка провулок                                                	провулок Степаненка
Степаненка вулиця                                                  	вулиця Степаненка
Тараненка вулиця                                                   	вулиця Тараненка
Бідненка вулиця                                                    	вулиця Бідненка
Василя Симоненка вулиця                                            	вулиця Василя Симоненка
Симоненка вулиця                                                   	вулиця Симоненка
Юрія Кононенка вулиця                                              	вулиця Юрія Кононенка
Мироненка вулиця                                                   	вулиця Мироненка
Михайла Черненка провулок                                          	провулок Михайла Черненка
Ємельяненка провулок                                               	провулок Ємельяненка
Квітки-Основ’яненка провулок                                       	провулок Квітки-Основʼяненка
вулиця Левка Лук'яненка                                            	вулиця Левка Лукʼяненка
Левка Лук'яненка вулиця                                            	вулиця Левка Лукʼяненка
Лук’яненка провулок                                                	провулок Лукʼяненка
Осипенка вулиця                                                    	вулиця Осипенка
Прокопенка вулиця                                                  	вулиця Прокопенка
Гайдаренка провулок                                                	провулок Гайдаренка
Гайдаренка вулиця;Haidarenka Street                                	вулиця Гайдаренка
Дмитра Назаренка вулиця                                            	вулиця Дмитра Назаренка
Антона Макаренка вулиця                                            	вулиця Антона Макаренка
1-й Макаренка проїзд                                               	1-й проїзд Макаренка
2-й Макаренка проїзд                                               	2-й проїзд Макаренка
Миколи Макаренка вулиця                                            	вулиця Миколи Макаренка
Макаренка провулок                                                 	провулок Макаренка
вулиця макаренка                                                   	вулиця Макаренка
Макаренка вулиця                                                   	вулиця Макаренка
Григорія Ашкаренка провулок                                        	провулок Григорія Ашкаренка
Академіка Пономаренка вулиця                                       	вулиця Академіка Пономаренка
Пономаренка вулиця                                                 	вулиця Пономаренка
Титаренка провулок                                                 	провулок Титаренка
Кухаренка Якова вулиця                                             	вулиця Якова Кухаренка
Гончаренка вулиця                                                  	вулиця Гончаренка
Кучеренка вулиця                                                   	вулиця Кучеренка
Кундіренка вулиця                                                  	вулиця Кундіренка
Петра Григоренка тупик                                             	тупик Петра Григоренка
Федоренка вулиця                                                   	вулиця Федоренка
Сергія Петренка провулок                                           	провулок Сергія Петренка
Петренка вулиця                                                    	вулиця Петренка
Бурмистренка вулиця                                                	вулиця Бурмистренка
вулиця В.Тарасенка                                                 	вулиця В. Тарасенка
Тарасенка вулиця                                                   	вулиця Тарасенка
Миколи Лисенка провулок                                            	провулок Миколи Лисенка
Миколи Лисенка вулиця                                              	вулиця Миколи Лисенка
Лисенка провулок                                                   	провулок Лисенка
Лисенка вулиця                                                     	вулиця Лисенка
Денисенка вулиця                                                   	вулиця Денисенка
Борисенка вулиця                                                   	вулиця Борисенка
імені Артема Носенка вулиця                                        	вулиця імені Артема Носенка
Носенка Івана вулиця                                               	вулиця Івана Носенка
Марусенка вулиця                                                   	вулиця Марусенка
Дмитра Андрусенка вулиця                                           	вулиця Дмитра Андрусенка
Андрусенка вулиця                                                  	вулиця Андрусенка
Івана Ігнатенка вулиця                                             	вулиця Івана Ігнатенка
Кіндратенка провулок                                               	провулок Кіндратенка
Кіндратенка вулиця                                                 	вулиця Кіндратенка
Кондратенка вулиця                                                 	вулиця Кондратенка
Кондратенка вулиця;Kondratenka Street                              	вулиця Кондратенка
Микитенка провулок                                                 	провулок Микитенка
Бутенка вулиця                                                     	вулиця Бутенка
Вулиця Хомутенка                                                   	вулиця Хомутенка
П’ятенка вулиця                                                    	вулиця Пʼятенка
Івана Даценка вулиця                                               	вулиця Івана Даценка
Анатолія Буценка вулиця                                            	вулиця Анатолія Буценка
Дмитра Луценка провулок                                            	провулок Дмитра Луценка
Луценка провулок                                                   	провулок Луценка
Луценка вулиця                                                     	вулиця Луценка
Яценка вулиця;Yatsenka Street                                      	вулиця Яценка
Козаченка вулиця                                                   	вулиця Козаченка
Євгена Ткаченка вулиця                                             	вулиця Євгена Ткаченка
Ткаченка провулок                                                  	провулок Ткаченка
Ткаченка вулиця                                                    	вулиця Ткаченка
Андрія Деребченка вулиця                                           	вулиця Андрія Деребченка
Леоніда Рябченка вулиця                                            	вулиця Леоніда Рябченка
В.Шевченка вулиця                                                  	вулиця В. Шевченка
Т. Г. Шевченка вулиця                                              	вулиця Т. Г. Шевченка
Тараса Шевченка вулиця                                             	вулиця Тараса Шевченка
1-й Шевченка вулиці провулок                                       	1-й провулок вулиці Шевченка
2-й Шевченка вулиці провулок                                       	2-й провулок вулиці Шевченка
Шевченка тупик                                                     	тупик Шевченка
Шевченка провулок                                                  	провулок Шевченка
1-й Шевченка провулок                                              	1-й провулок Шевченка
2-й Шевченка провулок                                              	2-й провулок Шевченка
3-й Шевченка провулок                                              	3-й провулок Шевченка
Шевченка вулиця                                                    	вулиця Шевченка
В'язовченка провулок                                               	провулок Вʼязовченка
В'язовченка вулиця                                                 	вулиця Вʼязовченка
Радченка вулиця                                                    	вулиця Радченка
Олександра Сербиченка вулиця                                       	вулиця Олександра Сербиченка
Михайличенка провулок                                              	провулок Михайличенка
Володимира Винниченка вулиця                                       	вулиця Володимира Винниченка
Винниченка провулок                                                	провулок Винниченка
Винниченка вулиця                                                  	вулиця Винниченка
Костянтина Марусиченка вулиця                                      	вулиця Костянтина Марусиченка
Геннадія Біліченка вулиця                                          	вулиця Геннадія Біліченка
Мірошніченка вулиця                                                	вулиця Мірошніченка
Панченка вулиця                                                    	вулиця Панченка
Олександра Оксанченка вулиця                                       	вулиця Олександра Оксанченка
Семенченка вулиця                                                  	вулиця Семенченка
Полковника Оксенченка вулиця                                       	вулиця Полковника Оксенченка
Донченка вулиця                                                    	вулиця Донченка
Сержанта Онопченка провулок                                        	провулок Сержанта Онопченка
Марченка вулиця                                                    	вулиця Марченка
Геннадія Захарченка вулиця                                         	вулиця Геннадія Захарченка
Віктора Федорченка провулок                                        	провулок Віктора Федорченка
Петра Юрченка вулиця                                               	вулиця Петра Юрченка
Юрченка Василя вулиця                                              	вулиця Василя Юрченка
Юрченка вулиця                                                     	вулиця Юрченка
Юрченка вуличя                                                     	вулиця Юрченка
вулиця Решетченка В. Г                                             	вулиця В. Г. Решетченка
Нікітченка провулок                                                	провулок Нікітченка
Нікітченка вулиця                                                  	вулиця Нікітченка
Нікітченка вулиця;Nikitchenka Street                               	вулиця Нікітченка
Федора Жученка тупик                                               	тупик Федора Жученка
Мельченка вулиця                                                   	вулиця Мельченка
Степана Васильченка провулок                                       	провулок Степана Васильченка
Микільченка вулиця                                                 	вулиця Микільченка
Стешенка провулок                                                  	провулок Стешенка
Блошенка вулиця                                                    	вулиця Блошенка
Юрія Тимошенка вулиця                                              	вулиця Юрія Тимошенка
Петра Дорошенка провулок                                           	провулок Петра Дорошенка
Петра Дорошенка вулиця                                             	вулиця Петра Дорошенка
Дорошенка вулиця                                                   	вулиця Дорошенка
Миколи Ярошенка вулиця                                             	вулиця Миколи Ярошенка
Аврушенка вулиця                                                   	вулиця Аврушенка
М. Євтушенка провулок                                              	провулок М. Євтушенка
Іващенка вулиця                                                    	вулиця Іващенка
Канащенка вулиця                                                   	вулиця Канащенка
Генерала Пащенка вулиця                                            	вулиця Генерала Пащенка
Геращенка вулиця                                                   	вулиця Геращенка
Олексія Міщенка вулиця                                             	вулиця Олексія Міщенка
Міщенка вулиця                                                     	вулиця Міщенка
Глущенка вулиця                                                    	вулиця Глущенка
Івана Саєнка вулиця                                                	вулиця Івана Саєнка
Федора Матвієнка вулиця                                            	вулиця Федора Матвієнка
Костя Гордієнка вулиця                                             	вулиця Костя Гордієнка
Гордієнка вулиця                                                   	вулиця Гордієнка
Сергія Зуєнка вулиця                                               	вулиця Сергія Зуєнка
Лисинка провулок                                                   	провулок Лисинка
Починка вулиця                                                     	вулиця Починка
Цеглянка вулиця                                                    	вулиця Цеглянка
Камянка вулиця                                                     	вулиця Камянка
Панянка вулиця                                                     	вулиця Панянка
Очеретянка вулиця                                                  	вулиця Очеретянка
Кузьми Дерев’янка провулок                                         	провулок Кузьми Деревʼянка
Кам’янка вулиця                                                    	вулиця Камʼянка
Василя Барка вулиця                                                	вулиця Василя Барка
Червона Гірка вулиця                                               	вулиця Червона Гірка
Червона Зірка вулиця                                               	вулиця Червона Зірка
Івана Сірка вулиця                                                 	вулиця Івана Сірка
Красна горка вулиця                                                	вулиця Красна Горка
вулиця Кондратка;Kondratka Street                                  	вулиця Кондратка
Гетьмана Полуботка вулиця                                          	вулиця Гетьмана Полуботка
Трутка вулиця                                                      	вулиця Трутка
Сука Василя вулиця                                                 	вулиця Василя Сука
Сержанта Мельничука  вулиця                                        	вулиця Сержанта Мельничука
Сержанта Мельничука вулиця                                         	вулиця Сержанта Мельничука
Івана Миколайчука провулок                                         	провулок Івана Миколайчука
Івана Миколайчука вулиця                                           	вулиця Івана Миколайчука
Корнійчука провулок                                                	провулок Корнійчука
Артилеристів Кременчука вулиця                                     	вулиця Артилеристів Кременчука
Лікаря Бончука вулиця                                              	вулиця Лікаря Бончука
Кащука вулиця                                                      	вулиця Кащука
Марка Вовчка провулок                                              	провулок Марка Вовчка
Марка Вовчка вулиця                                                	вулиця Марка Вовчка
Самійла Величка вулиця                                             	вулиця Самійла Величка
Пшеничка вулиця                                                    	вулиця Пшеничка
Матяшівочка вулиця                                                 	вулиця Матяшівочка
Глушка вулиця                                                      	вулиця Глушка
Академіка Івана Ляшка вулиця                                       	вулиця Академіка Івана Ляшка
Федька провулок                                                    	провулок Федька
Борідька провулок                                                  	провулок Борідька
Івана Приходька провулок                                           	провулок Івана Приходька
Івана Приходька вулиця                                             	вулиця Івана Приходька
Будька вулиця                                                      	вулиця Будька
Засядька вулиця                                                    	вулиця Засядька
Петра Слинька вулиця                                               	вулиця Петра Слинька
Михаська вулиця                                                    	вулиця Михаська
Новохатька провулок                                                	провулок Новохатька
Новохатька вулиця                                                  	вулиця Новохатька
Митрофана Очеретька вулиця                                         	вулиця Митрофана Очеретька
Василя Хітька вулиця                                               	вулиця Василя Хітька
Романа Крутька вулиця                                              	вулиця Романа Крутька
Шадюка вулиця                                                      	вулиця Шадюка
Демидюка Дмитра вулиця                                             	вулиця Дмитра Демидюка
Ігоря Сердюка вулиця                                               	вулиця Ігоря Сердюка
Сердюка вулиця                                                     	вулиця Сердюка
Малюка вулиця                                                      	вулиця Малюка
Кармелюка вулиця                                                   	вулиця Кармелюка
Петра Жданюка вулиця                                               	вулиця Петра Жданюка
Володимира Степанюка вулиця                                        	вулиця Володимира Степанюка
Леоніда Каденюка тупик                                             	тупик Леоніда Каденюка
Леоніда Каденюка провулок                                          	провулок Леоніда Каденюка
1-й Леоніда Каденюка провулок                                      	1-й провулок Леоніда Каденюка
2-й Леоніда Каденюка провулок                                      	2-й провулок Леоніда Каденюка
Леоніда Каденюка вулиця                                            	вулиця Леоніда Каденюка
Каденюка вулиця                                                    	вулиця Каденюка
Халаменюка вулиця                                                  	вулиця Халаменюка
Миколи Мартинюка вулиця                                            	вулиця Миколи Мартинюка
Володимира Івасюка вулиця                                          	вулиця Володимира Івасюка
Олександра Поросюка вулиця                                         	вулиця Олександра Поросюка
Юрія Кондратюка вулиця                                             	вулиця Юрія Кондратюка
Євгена Сверстюка вулиця                                            	вулиця Євгена Сверстюка
Погрібняка вулиця                                                  	вулиця Погрібняка
Залізняка вулиця                                                   	вулиця Залізняка
Дмитра Коряка провулок                                             	провулок Дмитра Коряка
Дмитра Коряка вулиця                                               	вулиця Дмитра Коряка
Іллі Третяка вулиця                                                	вулиця Іллі Третяка
Василя Третяка вулиця                                              	вулиця Василя Третяка
Старшого лейтенанта Кагала вулиця                                  	вулиця Старшого Лейтенанта Кагала
Дейкала вулиця                                                     	вулиця Дейкала
Шведська Могила вулиця                                             	вулиця Шведська Могила
Вітрила вулиця                                                     	вулиця Вітрила
Тараса Трясила проїзд                                              	проїзд Тараса Трясила
Вячеслава Чорновола вулиця                                         	вулиця Вʼячеслава Чорновола
В'ячеслава Чорновола провулок                                      	провулок Вʼячеслава Чорновола
вулиця В'ячеслава Чорновола                                        	вулиця Вʼячеслава Чорновола
В'ячеслава Чорновола вулиця                                        	вулиця Вʼячеслава Чорновола
В’ячеслава Чорновола вулиця                                        	вулиця Вʼячеслава Чорновола
Чорновола вулиця                                                   	вулиця Чорновола
провулок Дем’яна Гуджола                                           	провулок Демʼяна Гуджола
вулиця Дем’яна Гуджола                                             	вулиця Демʼяна Гуджола
Данила Апостола тупик                                              	тупик Данила Апостола
Данила Апостола провулок                                           	провулок Данила Апостола
Данила Апостола вулиця                                             	вулиця Данила Апостола
Академіка Василя Ремесла вулиця                                    	вулиця Академіка Василя Ремесла
Артема вулиця                                                      	вулиця Артема
Шолом-Алейхема вулиця                                              	вулиця Шолом-Алейхема
Кизима вулиця                                                      	вулиця Кизима
Заяма вулиця                                                       	вулиця Заяма
Андрія Рубана вулиця                                               	вулиця Андрія Рубана
Григорія Галагана вулиця                                           	вулиця Григорія Галагана
Бажана тупик                                                       	тупик Бажана
Бажана вулиця                                                      	вулиця Бажана
Ярослава Галана провулок                                           	провулок Ярослава Галана
Гійома Боплана провулок                                            	провулок Гійома Боплана
Гійома Боплана вулиця                                              	вулиця Гійома Боплана
Баумана вулиця                                                     	вулиця Баумана
Йосипа Гофмана вулиця                                              	вулиця Йосипа Гофмана
Ернста Тельмана провулок                                           	провулок Ернста Тельмана
Ернста Тельмана вулиця                                             	вулиця Ернста Тельмана
Тельмана провулок                                                  	провулок Тельмана
Тельмана вулиця                                                    	вулиця Тельмана
Гетьмана вулиця                                                    	вулиця Гетьмана
Олександра Корпана вулиця                                          	вулиця Олександра Корпана
Шапрана вулиця                                                     	вулиця Шапрана
Левітана вулиця                                                    	вулиця Левітана
Петра Болбочана провулок                                           	провулок Петра Болбочана
Леоніда Позена провулок                                            	провулок Леоніда Позена
Амундсена вулиця                                                   	вулиця Амундсена
Герцена провулок                                                   	провулок Герцена
Герцена вулиця                                                     	вулиця Герцена
Дубина вулиця                                                      	вулиця Дубина
Іларіона Сухомлина вулиця                                          	вулиця Іларіона Сухомлина
Долина вулиця                                                      	вулиця Долина
Приліпина вулиця                                                   	вулиця Приліпина
Івана Гурина вулиця                                                	вулиця Івана Гурина
Данилишина провулок                                                	провулок Данилишина
Каришина вулиця                                                    	вулиця Каришина
Локшина вулиця                                                     	вулиця Локшина
Августина Волошина провулок                                        	провулок Августина Волошина
Гаршина провулок                                                   	провулок Гаршина
Вершина провулок                                                   	провулок Вершина
Іванівщина вулиця                                                  	вулиця Іванівщина
Чернещина вулиця                                                   	вулиця Чернещина
Бориса Чичибабіна вулиця                                           	вулиця Бориса Чичибабіна
Полбіна провулок                                                   	провулок Полбіна
Полбіна вулиця                                                     	вулиця Полбіна
Глобіна провулок                                                   	провулок Глобіна
Кузьми Скрябіна провулок                                           	провулок Кузьми Скрябіна
Дарвіна тупик                                                      	тупик Дарвіна
Дарвіна провулок                                                   	провулок Дарвіна
Зигіна провулок                                                    	провулок Зигіна
Зигіна вулиця                                                      	вулиця Зигіна
Зигіна вулиця;Zyhina Street;ulica Zygina                           	вулиця Зигіна
Ногіна провулок                                                    	провулок Ногіна
Серьогіна вулиця                                                   	вулиця Серьогіна
Серьогіна вулиця;Serohina Street                                   	вулиця Серьогіна
Кочергіна вулиця                                                   	вулиця Кочергіна
Степана Разіна тупик                                               	тупик Степана Разіна
Степана Разіна вулиця                                              	вулиця Степана Разіна
Степана Разіна вулиця;Stepana Razina Street                        	вулиця Степана Разіна
Разіна тупик                                                       	тупик Разіна
Разіна вулиця                                                      	вулиця Разіна
Василя Каразіна тупик                                              	тупик Василя Каразіна
Кузіна площа                                                       	площа Кузіна
Балакіна вулиця                                                    	вулиця Балакіна
Балакіна вулиця;Balakina Street                                    	вулиця Балакіна
Дмитра Тьомкіна провулок                                           	провулок Дмитра Тьомкіна
Станкіна вулиця                                                    	вулиця Станкіна
Щепкіна вулиця                                                     	вулиця Щепкіна
Григорія Чуркіна вулиця                                            	вулиця Григорія Чуркіна
провулое Челюскіна                                                 	провулок Челюскіна
Челюскіна провулок                                                 	провулок Челюскіна
Челюскіна вулиця                                                   	вулиця Челюскіна
Генерала Ляскіна вулиця                                            	вулиця Генерала Ляскіна
Ляскіна вулиця                                                     	вулиця Ляскіна
Уточкіна вулиця                                                    	вулиця Уточкіна
Шишкіна проїзд                                                     	проїзд Шишкіна
Шишкіна провулок                                                   	провулок Шишкіна
Шишкіна вулиця                                                     	вулиця Шишкіна
Бабушкіна провулок                                                 	провулок Бабушкіна
Олександра Пушкіна вулиця                                          	вулиця Олександра Пушкіна
провулок пушкіна                                                   	провулок Пушкіна
Пушкіна провулок                                                   	провулок Пушкіна
Пушкіна провулок;Пушкина переулок                                  	провулок Пушкіна
1-й Пушкіна провулок                                               	1-й провулок Пушкіна
2-й Пушкіна провулок                                               	2-й провулок Пушкіна
Пушкіна бульвар                                                    	бульвар Пушкіна
вулиця пушкіна                                                     	вулиця Пушкіна
пушкіна вулиця                                                     	вулиця Пушкіна
Пушкіна вулиця                                                     	вулиця Пушкіна
Івана Шемякіна вулиця                                              	вулиця Івана Шемякіна
Чекаліна вулиця                                                    	вулиця Чекаліна
ім.Леніна вулиця                                                   	вулиця імені Леніна
2-й провулок Леніна вулиці                                         	2-й провулок вулиці Леніна
провулок леніна                                                    	провулок Леніна
Леніна провулок                                                    	провулок Леніна
Lenin Lane;Lenina Lane;Леніна провулок                             	провулок Леніна
1-й Леніна провулок                                                	1-й провулок Леніна
2-й Леніна провулок                                                	2-й провулок Леніна
вулиця леніна                                                      	вулиця Леніна
Ленина вулиця                                                      	вулиця Леніна
леніна вулиця                                                      	вулиця Леніна
Леніна вулиця                                                      	вулиця Леніна
Леніна вулиця;Lenin Street;Lenina Street                           	вулиця Леніна
Тюленіна провулок;Tiulenina Lane                                   	провулок Тюленіна
Тюленіна вулиця                                                    	вулиця Тюленіна
Єсеніна провулок                                                   	провулок Єсеніна
Сергія Єсеніна провулок                                            	провулок Сергія Єсеніна
Єсеніна вулиця                                                     	вулиця Єсеніна
Дубініна Володі провулок                                           	провулок Володі Дубініна
Михайла Калініна провулок                                          	провулок Михайла Калініна
Михайла Калініна вулиця                                            	вулиця Михайла Калініна
Калініна провулок                                                  	провулок Калініна
1-й Калініна провулок                                              	1-й провулок Калініна
2-й Калініна провулок                                              	2-й провулок Калініна
3-й Калініна провулок                                              	3-й провулок Калініна
Калініна вулиця                                                    	вулиця Калініна
Федора Мініна вулиця                                               	вулиця Федора Мініна
Мініна майдан                                                      	майдан Мініна
Мініна  вулиця                                                     	вулиця Мініна
Мініна вулиця                                                      	вулиця Мініна
Вороніна вулиця                                                    	вулиця Вороніна
Івана Буніна провулок                                              	провулок Івана Буніна
Остріяніна вулиця                                                  	вулиця Остріяніна
Репіна вулиця                                                      	вулиця Репіна
Рєпіна провулок                                                    	провулок Рєпіна
Рєпіна вулиця                                                      	вулиця Рєпіна
Петра Воропіна вулиця                                              	вулиця Петра Воропіна
Гагаріна тупик                                                     	тупик Гагаріна
Гагаріна провулок                                                  	провулок Гагаріна
1-й Гагаріна провулок                                              	1-й провулок Гагаріна
2-й Гагаріна провулок                                              	2-й провулок Гагаріна
Юрія Гагаріна вулиця                                               	вулиця Юрія Гагаріна
