Війська Запорізького провулок	провулок Війська Запорізького
Матроська Слободка провулок	провулок Матроська Слободка
Підгаївська провулок	провулок Підгаївська
Слобідська провулок	провулок Слобідська
Тернівська Розвилка провулок	провулок Тернівська Розвилка
Яська Воронченка провулок	провулок Яська Воронченка
