Братів Сумських вулиця	вулиця Братів Сумських
Братів Суріних вулиця	вулиця Братів Суріних
Братів Тобілевичів вулиця	вулиця Братів Тобілевичів
Братів Трофімових вулиця	вулиця Братів Трофімових
Братів Трофімових провулок	провулок Братів Трофімових
Братів Турчинів вулиця	вулиця Братів Турчинів
Братів Федорових вулиця	вулиця Братів Федорових
Братів Федусевичів вулиця	вулиця Братів Федусевичів
Братів Фільчинських вулиця	вулиця Братів Фільчинських
Братів Фуфрянських вулиця	вулиця Братів Фуфрянських
Братів Халімон вулиця	вулиця Братів Халімон
Братів Хижніх вулиця	вулиця Братів Хижніх
Братів Хоменків	Братів Хоменків
Братів Цендрівських вулиця	вулиця Братів Цендрівських
Братів Цибульських провулок	провулок Братів Цибульських
Братів Чмілів вулиця	вулиця Братів Чмілів
Братів Чмілів провулок	провулок Братів Чмілів
Братів Чучупаків вулиця	вулиця Братів Чучупаків
Братів Шайлоків вулиця	вулиця Братів Шайлоків
Братів Шеметів вулиця	вулиця Братів Шеметів
Братів Шеметів провулок	провулок Братів Шеметів
Братів Шерегіів вулиця	вулиця Братів Шерегіїв
Братів Шерегіїв вулиця	вулиця Братів Шерегіїв
Братів Шиянів вулиця	вулиця Братів Шиянів
Братів Шкамбар вулиця	вулиця Братів Шкамбар
Братів Щеглів вулиця	вулиця Братів Щеглів
Братів Щербань вулиця	вулиця Братів Щербань
Братів Щербатюків вулиця	вулиця Братів Щербатюків
Братів Яворівих вулиця	вулиця Братів Яворівих
Братів Яцунових вулиця	вулиця Братів Яцунових
Братiв Майбородiв вулиця	вулиця Братів Майбородів
вулиця Братів Бригінських	вулиця Братів Бригінських
вулиця Братів Ткаченків	вулиця Братів Ткаченків
Пономарів братів вулиця	вулиця Братів Пономарів
провулок Братів Ткаченків	провулок Братів Ткаченків
Сестер Василіанок провулок	провулок Сестер Василіанок
Сестер Гозадінових провулок	провулок Сестер Гозадінових
Сестер Гоменюк провулок	провулок Сестер Гоменюк
Сестер Куянових вулиця	вулиця Сестер Куянових
Сестер Сломницьких вулиця	вулиця Сестер Сломницьких
