1 Воєнна вулиця	1-ша Воєнна вулиця
500-річчя Вижівки вулиця	вулиця 500-річчя Вижівки
500-річчя Віньковець вулиця	вулиця 500-річчя Віньковець
500-річчя Локач вулиця	вулиця 500-річчя Локач
500-річчя Радехова вулиця	вулиця 500-річчя Радехова
500-річчя Січі вулиця	вулиця 500-річчя Січі
550-річчя Богородчан вулиця	вулиця 550-річчя Богородчан
6-та Лінія вулиця	вулиця 6-та Лінія
60-річчя СРСР вулиця	вулиця 60-річчя СРСР
60-річчя СРСР площа	площа 60-річчя СРСР
600-річчя Борислава вулиця	вулиця 600-річчя Борислава
600-річчя Бронниці вулиця	вулиця 600-річчя Бронниці
600-річчя Голиня вулиця	вулиця 600-річчя Голиня
600-Річчя Ярмолинець площа	площа 600-річчя Ярмолинець
600-річчя Ярмолинців площа	площа 600-річчя Ярмолинців
68-ми Десантників вулиця	вулиця 68-ми Десантників
7-го Конгресу вулиця	вулиця 7-го Конгресу
7-ма Воєнна вулиця	7-ма Воєнна вулиця
7-та лінія вулиця	вулиця 7-та Лінія
700-річчя Перегінська вулиця	700-річчя Перегінська вулиця
700-річчя Черкас вулиця	вулиця 700-річчя Черкас
78-го Укріпрайону вулиця	вулиця 78-го Укріпрайону
8-го Марта вулиця	вулиця 8 Березня
8-го Мехкорпусу вулиця	вулиця 8-го Мехкорпусу
8-го Сентября вулиця	вулиця 8 Вересня
80-річчя Дніпропетровщини вулиця	вулиця 80-річчя Дніпропетровщини
9-го Cічня вулиця	вулиця 9 Cічня
900-річчя Бродів вулиця	вулиця 900-річчя Бродів
900-річчя Варви вулиця	вулиця 900-річчя Варви
900-річчя Хуста вулиця	вулиця 900-річчя Хуста
900-річчя Щирця вулиця	вулиця 900-річчя Щирця
924-го Артполку вулиця	вулиця 924-го Артполку
