В.Бережного вулиця	вулиця В. Бережного
В.Білого вулиця	вулиця В. Білого
В.Вернадського вулиця	вулиця В. Вернадського
В.Винниченка вулиця	вулиця В. Винниченка
В.Г. Шевченка вулиця	вулиця В. Г. Шевченка
В.Гончаренко вулиця	вулиця В. Гончаренко
В.Дарди провулок	провулок В. Дарди
В.Демченка вулиця	вулиця В. Демченка
В.Дрозда вулиця	вулиця В. Дрозда
В.Жука вулиця	вулиця В. Жука
В.Загноя вулиця	вулиця В. Загноя
В.І. Дяченка вулиця	вулиця В. І. Дяченка
В.І. Дяченко вулиця	вулиця В. І. Дяченко
В.Івасюка вулиця	вулиця В. Івасюка
В.Ілика вулиця	вулиця В. Ілика
В.Інтернаціоналістів вулиця	вулиця В. Інтернаціоналістів
В.Кириченко вулиця	вулиця В. Кириченко
В.Косіянчука вулиця	вулиця В. Косіянчука
В.Лучаківського вулиця	вулиця В. Лучаківського
В.М. Філоненка вулиця	вулиця В. М. Філоненка
В.М.Кавуна вулиця	вулиця В. М. Кавуна
В.Макуха вулиця	вулиця В. Макуха
В.Матвійчука вулиця	вулиця В. Матвійчука
В.Москальця вулиця	вулиця В. Москальця
В.Нежуримі вулиця	вулиця В. Нежуримі
В.Ніколаєнка вулиця	вулиця В. Ніколаєнка
В.Семенця вулиця	вулиця В. Семенця
В.Сергієнка вулиця	вулиця В. Сергієнка
В.Соколовського вулиця	вулиця В. Соколовського
В.Стуса вулиця	вулиця В. Стуса
В.Сухомлинського вулиця	вулиця В. Сухомлинського
В.Т. Гаращука вулиця	вулиця В. Т. Гаращука
В.Чабана вулиця	вулиця В. Чабана
В.Чорновола вулиця	вулиця В. Чорновола
В.Шевченка вулиця	вулиця В. Шевченка
Воронцова О. П. вулиця	вулиця О. П. Воронцова
Вул. В. Арнаутська	Велика Арнаутська вулиця
Вул. Л. Толстого	вулиця Л. Толстого
вулиця Ангеліної П.	вулиця П. Ангеліної
вулиця Б. Хмельницького	вулиця Б. Хмельницького
вулиця В. Котика	вулиця В. Котика
вулиця В. Стуса	вулиця В. Стуса
вулиця В. Фокшука	вулиця В. Фокшука
вулиця Г. Плютинського	вулиця Г. Плютинського
вулиця Д. Карвацького	вулиця Д. Карвацького
вулиця Д. Чекмака	вулиця Д. Чекмака
вулиця З. Космодемянської	вулиця З. Космодемянської
вулиця К. Галкіна	вулиця К. Галкіна
вулиця К. Савури	вулиця К. Савури
вулиця К. Спотар	вулиця К. Спотар
вулиця К.Галкіна	вулиця К. Галкіна
вулиця Кобилянської О.	вулиця О. Кобилянської
вулиця Ковалевської С.	вулиця С. Ковалевської
вулиця Космодемянської З.	вулиця З. Космодемʼянської
вулиця Котика В.	вулиця В. Котика
вулиця Кошевого О.	вулиця О. Кошевого
вулиця Л. Колодуба	вулиця Л. Колодуба
вулиця Л. Толстого	вулиця Л. Толстого
вулиця Л. Українки	вулиця Л. Українки
вулиця Л. Шевцової	вулиця Л. Шевцової
вулиця М. Грушевського	вулиця М. Грушевського
вулиця М. Заньковецької	вулиця М. Заньковецької
вулиця М. Козака	вулиця М. Козака
вулиця М. Торези	вулиця М. Торези
вулиця М. Черемшини	вулиця М. Черемшини
вулиця Мирного П.	вулиця П. Мирного
вулиця Н. Яремчука	вулиця Н. Яремчука
вулиця Н. Яремчука	вулиця Н. Яремчука
вулиця О. Кобилянської	вулиця О. Кобилянської
вулиця О. Кошового	вулиця О. Кошового
вулиця О. Степанової	вулиця О. Степанової
вулиця П. Малинського	вулиця П. Малинського
вулиця П. Мирного	вулиця П. Мирного
вулиця П. Могили	вулиця П. Могили
вулиця С. Ковалевської	вулиця С. Ковалевської
вулиця С. Побережника	вулиця С. Побережника
вулиця С. Руданського	вулиця С. Руданського
вулиця С. Тулуба	вулиця С. Тулуба
вулиця Степанової О.	вулиця О. Степанової
вулиця Т. Бульби-Боровця	вулиця Т. Бульби-Боровця
