---Захисників України провулок	провулок Захисників України
Медиків вулиця	Медиків вулиця
Метробудівників вулиця	Метробудівників вулиця
Миколаївських Десантників вулиця	Миколаївських Десантників вулиця
Мірошників вулиця	Мірошників вулиця
Містобудівельників вулиця	Містобудівельників вулиця
Модельщиків вулиця	Модельщиків вулиця
Монтажників вулиця	Монтажників вулиця
Монтажників провулок	Монтажників провулок
Морських десантників вулиця	Морських десантників вулиця
Морських Десантників вулиця	Морських Десантників вулиця
Моряків-десантників вулиця	Моряків-десантників вулиця
Мостобудівельників вулиця	Мостобудівельників вулиця
Мостобудівників в’їзд	Мостобудівників вʼїзд
Мостобудівників вулиця	Мостобудівників вулиця
Моторобудівників вулиця	Моторобудівників вулиця
Моторобудівників проспект	Моторобудівників проспект
Наваловідбійників вулиця	Наваловідбійників вулиця
Народних Дружинників вулиця	Народних Дружинників вулиця
Наставників вулиця	Наставників вулиця
Наукових Працівників вулиця	Наукових Працівників вулиця
Нафтовиків вулиця	Нафтовиків вулиця
Нафтовиків провулок	Нафтовиків провулок
Неокласиків вулиця	Неокласиків вулиця
Овочівників вулиця	Овочівників вулиця
Паперовиків вулиця	Паперовиків вулиця
Паровозників вулиця	Паровозників вулиця
Паровозників провулок	Паровозників провулок
Партизанів-Підпільників вулиця	Партизанів-Підпільників вулиця
Передовиків вулиця	Передовиків вулиця
Перших Будівельників вулиця	Перших Будівельників вулиця
Першобудівників вулиця	Першобудівників вулиця
Письменників вулиця	Письменників вулиця
Підводників вулиця	Підводників вулиця
Підпільників ОУН вулиця	Підпільників ОУН вулиця
Побутовиків вулиця	Побутовиків вулиця
Пожежників вулиця	Пожежників вулиця
Політехників вулиця	Політехників вулиця
Праведників світу вулиця	Праведників світу вулиця
Праведників Світу вулиця	Праведників Світу вулиця
Праведників Світу провулок	Праведників Світу провулок
Прикордонників алея	Прикордонників алея
Прикордонників вулиця	Прикордонників вулиця
Прикордонників провулок	Прикордонників провулок
Приладобудівників в’їзд	Приладобудівників вʼїзд
Приладобудівників вулиця	Приладобудівників вулиця
Приладобудівників провулок	Приладобудівників провулок
Проектувальників проїзд	Проектувальників проїзд
Прокатників вулиця	Прокатників вулиця
Прохідників вулиця	Прохідників вулиця
Радянських Прикордонників вулиця	Радянських Прикордонників вулиця
Ракетників вулиця	Ракетників вулиця
Ракетників провулок	Ракетників провулок
Ракетобудівників вулиця	Ракетобудівників вулиця
Резинщиків вулиця	Резинщиків вулиця
Ремонтників вулиця	Ремонтників вулиця
Ровесникiв вулиця	Ровесників вулиця
Розвідників вулиця	Розвідників вулиця
Романтиків вулиця	Романтиків вулиця
Рятівників провулок	Рятівників провулок
Рятувальників вулиця	Рятувальників вулиця
Сільських Будівельників вулиця	Сільських Будівельників вулиця
Сірожупанників вулиця	Сірожупанників вулиця
Солянників вулиця	Солянників вулиця
Соратників вулиця	Соратників вулиця
Стадників вулиця	Стадників вулиця
Старих Більшовиків вулиця	Старих Більшовиків вулиця
