1-й Кирила Бочкарьова тупик	1-й тупик Кирила Бочкарьова
1-й Марії Литвиненко-Вольгемут тупик	1-й тупик Марії Литвиненко-Вольгемут
1-й Посульський Узвіз тупик	1-й тупик Посульський Узвіз
2-й Кирила Бочкарьова тупик	2-й тупик Кирила Бочкарьова
2-й Посульський Узвіз тупик	2-й тупик Посульський Узвіз
3-й Кирила Бочкарьова тупик	3-й тупик Кирила Бочкарьова
3-й Посульський Узвіз тупик	3-й тупик Посульський Узвіз
4-й Кирила Бочкарьова тупик	4-й тупик Кирила Бочкарьова
5-й Кирила Бочкарьова тупик	5-й тупик Кирила Бочкарьова
