1-го Травня площа	площа 1 Травня
площа Гаврила Глюка	площа Гаврила Глюка
Площа Героїв Євромайдану	Площа Героїв Євромайдану
площа Героїв Майдану	площа Героїв Майдану
Площа героїв парку перемоги	Площа героїв парку перемоги
площа Григорія Кірпи	площа Григорія Кірпи
площа Гусєва	площа Гусєва
площа Дружби Народів	площа Дружби Народів
площа Едмунта Егана	площа Едмунта Егана
площа Енді Воргола	площа Енді Воргола
площа Євгена Томенчука	площа Євгена Томенчука
площа Євгена Фенцика	площа Євгена Фенцика
Площа знань	Площа знань
Площа знань НТУУ «КПІ»	Площа знань НТУУ «КПІ»
Площа ім. Поляка	Площа ім. Поляка
площа Карла Маркса	площа Карла Маркса
площа Карпатської України	площа Карпатської України
площа Кирила і Мефодія	площа Кирила і Мефодія
площа Князя Лаборця	площа Князя Лаборця
площа Кооперативна	площа Кооперативна
площа Корятовича	площа Корятовича
площа Кошута	площа Кошута
площа Культури	площа Культури
площа Лебедєва-Кумача	площа Лебедєва-Кумача
площа Маяковського	площа Маяковського
площа Миру	площа Миру
Площа Миру	Площа Миру
площа Незалежності	площа Незалежності
площа Олександра Духновича	площа Олександра Духновича
площа Олександра Пушкіна	площа Олександра Пушкіна
площа Паланок	площа Паланок
площа Памʼяті	площа Памʼяті
площа Перемоги	площа Перемоги
Площа Перемоги	Площа Перемоги
площа Ракоці	площа Ракоці
площа Свободи	площа Свободи
площа Святого Йоана Павла ІІ	площа Святого Йоана Павла ІІ
Площа Соборності	Площа Соборності
площа Тараса Шевченка	площа Тараса Шевченка
площа Шандора Петефі	площа Шандора Петефі
площа Шахтарів	площа Шахтарів
Площа Шевченка	Площа Шевченка
площа Ювілейна	площа Ювілейна
Площадка для культурных мероприятий	Площадка для культурных мероприятий
Покровська площа	Покровська площа
Польовий майдан	Польовий майдан
Польський Ринок площа	Польський Ринок площа
Портова площа	Портова площа
Посохівська площа	Посохівська площа
Поштова площа	Поштова площа
Правобережна площа	Правобережна площа
Привокзальна площа	Привокзальна площа
Привокзальний майдан	Привокзальний майдан
Приморська площа	Приморська площа
Профспілок площа	Профспілок площа
Путятинський майдан	Путятинський майдан
Пушкіна площа	Пушкіна площа
Радянська площа	Радянська площа
Революції площа	Революції площа
Рибна площа	Рибна площа
Ринок майдан	Ринок майдан
Ринок площа	Ринок площа
Різдвяна площа	Різдвяна площа
Романа Шухевича площа	Романа Шухевича площа
Руднянський майдан	Руднянський майдан
