Абай проспект	проспект Абай
Крутий узвіз	Крутий узвіз
Курортное шоссе	Курортное шосе
Леб’яжий в’їзд	Леб’яжий вʼїзд
Ленина проспект	проспект Ленина
Лепсе площа	площа Лепсе
Ліверпуль площа	площа Ліверпуль
М’ясокомбіната проїзд	проїзд Мʼясокомбіната
Малий узвіз	Малий узвіз
Манюшко в’їзд	вʼїзд Манюшко
Маринеско узвіз	узвіз Маринеско
Марко Вовчок бульвар	бульвар Марко Вовчок
Матері Божої площа	площа Матері Божої
Меліораторів площа	площа Меліораторів
Металлургов квартал	квартал Металлургов
Металлургов проспект	проспект Металлургов
Металург квартал	квартал Металург
Металургів бульвар	бульвар Металургів
Металургів мікрорайон	мікрорайон Металургів
Металургів площа	площа Металургів
Металургів проспект	проспект Металургів
Мира проспект	проспект Мира
Миру алея	алея Миру
Миру бульвар	бульвар Миру
Миру в'їзд	вʼїзд Миру
Миру в’їзд	вʼїзд Миру
Миру квартал	квартал Миру
Миру площа	площа Миру
Миру проїзд	проїзд Миру
Миру проспект	проспект Миру
Мистецтв алея	алея Мистецтв
Мистецтв бульвар	бульвар Мистецтв
Мистецтв майдан	майдан Мистецтв
Мистецькі Ворота майдан	майдан Мистецькі Ворота
Молоді алея	алея Молоді
Молоді площа	площа Молоді
Молоді проспект	проспект Молоді
Молодої Гвардії проспект	проспект Молодої Гвардії
Морвокзалу площа	площа Морвокзалу
Мрій бульвар	бульвар Мрій
Набережне шосе	Набережне шосе
Навсі площа	площа Навсі
Національної Гвардії майдан	майдан Національної Гвардії
Нерсісянскій бульвар	Нерсісянскій бульвар
Нове північне шосе	Нове Північне шосе
Нове шосе	Нове шосе
Новопразьке шосе	Новопразьке шосе
Новоселів проїзд	проїзд Новоселів
Новоушицьке шосе	Новоушицьке шосе
Огородній в'їзд	Огородній вʼїзд
Орджонікідзе площа	площа Орджонікідзе
Орджонікідзе проїзд	проїзд Орджонікідзе
Орджонікідзе проспект	проспект Орджонікідзе
Орлів тупик	тупик Орлів
Осінній проїзд	Осінній проїзд
Осоавіахіма проїзд	проїзд Осоавіахіма
ОУН-УПА майдан	майдан ОУН-УПА
Паланок площа	площа Паланок
Пам’яті алея	алея Памʼяті
Пам’яті площа	площа Памʼяті
Паризької Комуни тупик	тупик Паризької Комуни
Пасіонарії узвіз	узвіз Пасіонарії
Патріотів в’їзд	вʼїзд Патріотів
Патріотів проїзд	проїзд Патріотів
Патріотів України алея	алея Патріотів України
Перемоги алея	алея Перемоги
Перемоги майдан	майдан Перемоги
Перемоги мікрорайон	мікрорайон Перемоги
