Абельханова провулок	провулок Абельханова
Парфірова вулиця	вулиця Парфірова
Пєрова вулиця	вулиця Пєрова
Платова вулиця	вулиця Платова
Полєнова вулиця	вулиця Полєнова
Приберегова вул.	Приберегова вулиця
Проліскова вулиця	Проліскова вулиця
проспект Кирова	проспект Кірова
проспект Нахимова	проспект Нахимова
Пузирьова вулиця	вулиця Пузирьова
Размислова вулиця	вулиця Размислова
Рейтузова вулиця	Рейтузова вулиця
Свєрдлова вулиця	вулиця Свєрдлова
Седашова вулиця	вулиця Седашова
Сєрікова вулиця	вулиця Сєрікова
Сєчєнова вулиця	вулиця Сєчєнова
Сиворонова вулиця	вулиця Сиворонова
Словацького вулиця	вулиця Словацького
Старова вулиця	вулиця Старова
Сурікова вулиця	вулиця Сурікова
Сухинова вулиця	вулиця Сухинова
Табунова вулиця	вулиця Табунова
Теплова вулиця	Теплова вулиця
Тікунова вулиця	вулиця Тікунова
Уколова вулиця	вулиця Уколова
Чуйкова вулиця	вулиця Чуйкова
Чурілова вулиця	вулиця Чурілова
Ширшова вулиця	вулиця Ширшова
Юрова вулиця	вулиця Юрова
Яблочкова вулиця	вулиця Яблочкова
