old_name	 new_name
Академіка Ігоря Грабаря вулиця	Академіка Ігоря Грабаря вулиця
Академіка Ігоря Курчатова вулиця	Академіка Ігоря Курчатова вулиця
Академіка Йосипа Бокшая вулиця	Академіка Йосипа Бокшая вулиця
Академіка Каменського вулиця	Академіка Каменського вулиця
Академіка Карпинського вулиця	Академіка Карпинського вулиця
Академіка Карпінського вулиця	Академіка Карпінського вулиця
Академіка Кащенка вулиця	Академіка Кащенка вулиця
Академіка Квасницького вулиця	Академіка Квасницького вулиця
Академіка Кириченка вулиця	Академіка Кириченка вулиця
Академіка Кисловського вулиця	Академіка Кисловського вулиця
Академіка Кіпріанова вулиця	Академіка Кіпріанова вулиця
Академіка Климова вулиця	Академіка Климова вулиця
Академіка Книшова вулиця	Академіка Книшова вулиця
Академіка Кононського вулиця	Академіка Кононського вулиця
Академіка Корольова вулиця	Академіка Корольова вулиця
Академіка Корольова провулок	Академіка Корольова провулок
Академіка Корольова проспект	Академіка Корольова проспект
Академіка Костичева вулиця	Академіка Костичева вулиця
Академіка Кочина вулиця	Академіка Кочина вулиця
Академіка Кравчука вулиця	Академіка Кравчука вулиця
Академіка Кравчука провулок	Академіка Кравчука провулок
Академіка Кржижановського вулиця	Академіка Кржижановського вулиця
Академіка Кримського вулиця	Академіка Кримського вулиця
Академіка Крип’якевича вулиця	Академіка Крипʼякевича вулиця
Академіка Курнакова вулиця	Академіка Курнакова вулиця
Академіка Курчатова вулиця	Академіка Курчатова вулиця
Академіка Курчатова провулок	Академіка Курчатова провулок
Академіка Курчатова проспект	Академіка Курчатова проспект
Академіка Кухаря вулиця	Академіка Кухаря вулиця
Академіка Лавровського вулиця	Академіка Лавровського вулиця
Академіка Лебедєва вулиця	Академіка Лебедєва вулиця
Академіка Липського проїзд	Академіка Липського проїзд
Академіка Лисіна вулиця	Академіка Лисіна вулиця
Академіка Лисіна провулок	Академіка Лисіна провулок
Академіка Ліхачова бульвар	Академіка Ліхачова бульвар

Академіка Ляпунова вулиця	Академіка Ляпунова вулиця
Академіка Малахова вулиця	Академіка Малахова вулиця
Академіка Малиновського вулиця	Академіка Малиновського вулиця
Академіка Маслова вулиця	Академіка Маслова вулиця
Академіка Миколи Амосова вулиця	Академіка Миколи Амосова вулиця
Академіка Миколи Біляшівського вулиця	Академіка Миколи Біляшівського вулиця
Академіка Миколи Володарського вулиця	Академіка Миколи Володарського вулиця
Академіка Миколи Зелінського вулиця	Академіка Миколи Зелінського вулиця
Академіка Миколи Морозова вулиця	Академіка Миколи Морозова вулиця
Академіка Михайла Возняка вулиця	Академіка Михайла Возняка вулиця
Академіка Михайла Грушевського вулиця	Академіка Михайла Грушевського вулиця
Академіка Михайла Кравчука вулиця	Академіка Михайла Кравчука вулиця
Академіка Михайлевського вулиця	Академіка Михайлевського вулиця
Академіка Мічуріна вулиця	Академіка Мічуріна вулиця
Академіка Моргуна вулиця	Академіка Моргуна вулиця
Академіка Мориса Семашка провулок	Академіка Мориса Семашка провулок
Академіка Муравченка вулиця	Академіка Муравченка вулиця
Академіка Навашина вулиця	Академіка Навашина вулиця
Академіка Неговського вулиця	Академіка Неговського вулиця
Академіка Образцова вулиця	Академіка Образцова вулиця
Академіка Олександра Богомольця вулиця	Академіка Олександра Богомольця вулиця
Академіка Олексія Бекетова площа	Академіка Олексія Бекетова площа
Академіка Омелянського проїзд	Академіка Омелянського проїзд
Академіка Оппокова вулиця	Академіка Оппокова вулиця
Академіка Павлова в’їзд	Академіка Павлова вʼїзд
Академіка Павлова вулиця	Академіка Павлова вулиця
Академіка Павлова провулок	Академіка Павлова провулок
Академіка Павловського вулиця	Академіка Павловського вулиця
Академіка Палладіна проспект	Академіка Палладіна проспект
Академіка Панкратової вулиця	Академіка Панкратової вулиця
Академіка Патона вулиця	Академіка Патона вулиця
Академіка Патона провулок	Академіка Патона провулок
Академіка Пирогова вулиця	Академіка Пирогова вулиця
Академіка Писаржевського вулиця	Академіка Писаржевського вулиця
Академіка Підгорного вулиця	Академіка Підгорного вулиця
Академіка Підгорного провулок	Академіка Підгорного провулок
Академіка Погорєлова вулиця	Академіка Погорєлова вулиця
Академіка Погребняка вулиця	Академіка Погребняка вулиця
Академіка Пономаренка вулиця	Академіка Пономаренка вулиця
Академіка Потебні вулиця	Академіка Потебні вулиця
Академіка Прасолова вулиця	Академіка Прасолова вулиця
Академіка Пріснякова вулиця	Академіка Пріснякова вулиця

Академіка Рапопорта вулиця	Академіка Рапопорта вулиця
Академіка Рево вулиця	Академіка Рево вулиця
Академіка Решитньова вулиця	Академіка Решитньова вулиця
Академіка Рильського вулиця	Академіка Рильського вулиця
Академіка Романа Кучера вулиця	Академіка Романа Кучера вулиця
Академіка Ромоданова вулиця	Академіка Ромоданова вулиця
Академіка Сахарова вулиця	Академіка Сахарова вулиця
Академіка Семенова вулиця	Академіка Семенова вулиця
Академіка Сергєєва вулиця	Академіка Сергєєва вулиця
Академіка Сергія Єфремова вулиця	Академіка Сергія Єфремова вулиця
Академіка Сергія Корольова вулиця	Академіка Сергія Корольова вулиця
